material_id,formula,exfoliation_energy (J/m^2)
5413,BiBrCdSe2,0.7673610782765288
4710,FOTi,0.37547112209125255
3627,CuI,0.31098126861297104
3024,NbTe2,0.4334141630256923
2484,PSe,0.02396801590890265
3117,MgTi2,2.2358292571990397
1151,RhTl3,1.3528961495147682
3933,BaCaI4,0.20407881986010515
588,In2Se,0.545201973794632
226,Br3P,0.2624808158085676
3173,MgTi,1.897831075742508
5738,F4Mn2O,0.3174542385223063
1870,Se3Y2,1.1535057665097117
5846,HClZr,0.33396572034502287
597,S3Sc,0.46928832903586043
3952,Br2O11Te6,0.7830186809373604
45,Mg2Sb,1.0801020410435078
5043,CoFO,0.7111378818829052
28,BrS,0.250678766651667
2534,SbSe,0.6985293155317105
3465,AgClO2,0.4342540311886176
2173,SeY,0.033273281944829314
5232,O7P2Sn,0.827034690642812
1258,F2Hg,0.7143506385789369
3210,As2Se3,0.4490421216633147
1273,PtSi3,2.847031466839001
703,S3Tl4,0.7984026119129204
1225,AlI3,0.25437064559808126
3977,F12MnSb2,0.28320931804237914
762,Na2O,0.1544790556926985
71,AuTe,0.7261858951385793
142,AlI3,0.2592616231541478
5884,F5MoZn,1.2428407772128227
1485,Be2Rh,3.057328063874526
3271,MgSn,0.7782610380081392
920,Ba5Y,0.820948573532086
471,Te3V,0.5001401677210175
5733,As2Ge5Te8,0.3964800286770229
4646,CaS16Ti8,0.4043614166220048
1768,Nb2S3,0.8473147853211995
5665,Cu2O4W,0.6745186270441641
4769,S2Tc,0.38547084728935227
767,S5Zr,0.3386437978303044
1571,In4Te3,0.731194172121156
4244,PtTe2,0.5059743634318413
871,CCl3,0.21109551386730857
5321,CrHgO6Pb2,0.6704216449022358
4938,CrO8P2,1.6705989141843003
3781,PPdS,0.4711824448616081
1786,AlP3,1.213774823833361
4789,As2O4Zn,0.4106185333397408
4841,H4O4P2Zn,0.3269290917802628
4082,O14P4Sn3,0.19941446821287942
4615,Fe4S5,0.013792909637928646
4354,O8SeTe3,0.5132941629841101
5896,CuO3Se,0.52873331687448
3283,Nb2PdS6,0.41526718463053985
5091,H2ILiO,0.6249441721981974
4177,CaO2,0.662386155191002
1106,RuSn2,1.4185107719521843
3995,ReS2,0.3752676656705072
1789,F2Mg,0.3907587298445301
5358,BiF5,0.20148074247522677
3028,Ga2S4Zn,0.5700289817321639
4521,BiCoO3,2.923015523097257
5739,Cu2O7Sr2Te,0.37966956707213706
2738,BaI2,0.2126108983074911
3418,Cl2CuO2Sr2,0.5365404836225047
3492,AsMnNa,0.6256454902814167
366,Cl8Si3,0.17529467079845812
890,BrO2,0.4176308841340386
5671,F6SSn4,0.2690077729738129
5109,BaCu,0.6511673238478576
1236,NiPb4,0.6206682817840579
1652,Cl4Ru,0.3507940443857652
3767,CBY,0.11126419901344259
3950,C3I6OY7,0.19946113082975217
2517,I2Sr,0.17663260863105204
4393,Fe3Se4,0.5086224835945217
1454,Ba2Rh,0.6182125709688825
5285,FOSb,0.2341224753605915
1797,Cl3Nb,0.33634694551669697
4940,H3AlO3,0.750502957677222
4164,LiMnO4P,0.8376103732709975
