ID,exfoliation_energy (J/m^2),min:bulk_modulus (GPa),min:thermal_conductivity (W / m / K),min:evaporation_heat (KJ / mol),max:num_p_valence,ave:num_p_valence,min:boiling_point (K),ave:thermal_conductivity (W / m / K),var:heat_capacity_molar (J / mol / K),ave:hhi_r,var:num_p_valence,ave:electron_affinity (eV),max:electron_affinity (eV),min:melting_point (K),min:heat_of_formation (KJ / mol),max:heat_capacity_molar (J / mol / K),ave:icsd_volume (cm^3 / mol),ave:mendeleev_number,min:vdw_radius_uff (pm),max:thermal_conductivity (W / m / K),var:electron_affinity (eV),max:mendeleev_number,ave:vdw_radius_uff (pm),ave:heat_capacity_molar (J / mol / K),sum:thermal_conductivity (W / m / K),ave:bulk_modulus (GPa)
5474,0.4047280469015784,8.3,0.52,59.7,4.0,2.0,958.1,40.26,0.01729225000000022,3700.0,4.0,1.0858349999999999,2.02067,490.0,227.2,25.363000000000003,20.794999999999998,77.0,291.2,80.0,0.8739164772249999,93.0,355.85,25.231500000000004,161.04,89.15
3039,0.3917647943521481,65.0,3.0,49.8,4.0,2.6666666666666665,1263.0,58.666666666666664,0.47368888888888944,4700.0,3.5555555555555554,1.586004,1.970876,722.7,196.6,25.73,27.909999999999997,79.66666666666666,309.6,170.0,0.29625291276800003,92.0,401.2,25.243333333333332,176.0,146.66666666666666
1947,0.43686627774413006,7.7,0.205,10.5,4.0,2.6666666666666665,717.824,19.136666666666667,1.5723555555555557,2266.6666666666665,3.5555555555555554,1.4920693533333333,2.07710403,386.0,277.17,25.36,23.056666666666665,80.0,317.0,57.0,0.6845311458049425,94.0,374.66666666666663,23.586666666666666,746.33,71.79999999999998
1222,0.26934806480319806,7.7,0.449,41.95,5.0,3.75,457.5,6.08675,158.44966875,4250.0,4.6875,2.4007776,3.0590368,386.7,106.757,54.43,37.705,85.0,312.4,23.0,1.29991552315392,97.0,415.6,47.162499999999994,48.694,48.904954613996495
2028,1.0728594800033648,9.6,0.0277,6.54,5.0,3.333333333333333,85.01,6.018466666666667,2.324167999999997,1766.6666666666665,5.555555555555555,2.315666466666667,3.4011897000000006,53.53,79.335,31.304,31.906666666666666,72.66666666666667,336.4,18.0,2.3567213802129094,102.0,347.7,30.225999999999996,36.1108,34.39929299817511
960,1.844724519047783,58.0,22.0,296.0,2.0,1.3333333333333333,2543.0,52.0,0.8277555555555552,1599.9999999999998,0.8888888888888888,0.7677113333333332,1.112067,505.1,301.2,26.99,23.923333333333332,72.33333333333333,317.5,67.0,0.23716165033088885,83.0,398.63333333333327,26.346666666666664,312.0,75.33333333333333
4999,0.1668365691262739,70.0,0.02658,15.579091192355275,4.0,2.5,90.19,57.5166125,5.358533750000001,1625.0,3.75,1.407258262165029,2.319978597320232,54.8,130.4,29.378,16.71125,86.375,276.3,170.0,0.19326477939766262,101.0,330.6875,27.6025,460.1329,133.81627553157642
1437,0.3056260343736035,1.9,0.12,29.56,5.0,3.75,331.9,7.84,483.87,6025.0,4.6875,2.6539411500000005,3.3635882000000006,265.9,111.85,75.69,52.325,87.0,314.4,31.0,1.5107968067211082,98.0,392.775,62.989999999999995,62.72,41.425
121,0.2573816580468648,56.79963952619768,0.1805,0.904,2.0,1.5,20.28,50.295125,0.6389467500000001,2057.88786469366,0.75,1.022599,1.112067,14.01,217.998,28.836,28.292500000000004,88.0,288.6,67.0,0.024013569071999995,103.0,401.54999999999995,27.4515,402.361,57.69990988154942
82,0.3681620768421184,57.36488287770901,0.02583,20.055855572740406,3.0,2.5,77.4,75.012915,20.857489,750.0,0.25,-0.005239449999999923,1.3895211,63.29,450.0,29.124,21.35,92.5,366.0,150.0,1.9453569918363025,100.0,397.75,24.557,900.15498,78.68244143885451
3325,1.7652663138453701,7.7,0.02658,10.5,4.0,2.0,90.19,32.57276333333333,5.408335555555556,1383.3333333333333,4.0,0.9942202600000001,2.07710403,54.8,164.0,29.378,24.75333333333333,71.0,291.2,80.0,0.8134395683999877,101.0,350.5833333333333,25.294666666666664,390.87316,83.99775250281786
3901,0.4725915686656133,76.10604085052228,0.02658,15.579091192355275,4.0,2.6666666666666665,90.19,26.684386666666665,4.066951999999997,800.0,3.5555555555555554,1.024409,1.4611135,54.8,249.229,29.378,15.499999999999998,87.66666666666666,291.2,80.0,0.38142164064049994,101.0,330.4,27.951999999999998,80.05316,107.40402723368152
1583,0.3165141355845889,8.3,0.52,59.7,4.0,2.5,958.1,14.76,0.11122224999999936,3950.0,2.25,1.225335,2.02067,302.93,227.2,26.03,24.705,87.0,420.5,29.0,0.632557762225,93.0,429.4,25.6965,59.04,45.35857886827705
5335,0.7865732176527992,56.79963952619768,0.02658,0.904,4.0,1.857142857142857,20.28,33.660177142857144,3.0113554285714286,1827.8077680462745,3.5510204081632653,1.0112507857142856,1.4611135,14.01,217.998,29.378,23.535714285714285,98.85714285714286,288.6,235.0,0.1628475744810612,103.0,337.95714285714286,28.406,942.48496,67.8167201614514
3561,0.5178949015277722,33.0,0.02658,15.579091192355275,4.0,2.8,90.19,108.015948,65.28949696,700.0,2.56,1.3760919,1.4611135,54.8,249.229,29.378,13.911999999999999,94.0,349.5,400.0,0.01091655271593999,101.0,356.92,24.2182,540.07974,80.26362451031336
