,exfoliation_energy (J/m^2),ave:Polarizability,ave:atomic_number,ave:atomic_radius,ave:atomic_radius_rahm,ave:atomic_volume,ave:atomic_weight,sum:boiling_point,sum:hhi_r,var:boiling_point,var:c6_gb,var:evaporation_heat,var:hhi_p,var:hhi_r,var:melting_point,var:sound_velocity,var:thermal_conductivity,r1_1term,r1_2term,r1_3term,r1_4term,r2_1term,r2_2term,r2_3term,r2_4term
1972,0.23181734615728747,2.7125000000000004,21.0,145.2653630448719,212.25,17.299999999999997,45.31789875,6367.2,28000.0,76177.2675,4975.576875000001,26.955018749999994,607500.0,1687500.0,157941.9075,2209365.014253474,468.58313985187493,0.3618149963092149,0.4376075728175284,0.5076295396296326,0.48305970955857613,0.42320163685403717,0.5799230978377476,0.5769207435101159,0.5501134549987776
5942,0.0498211347667363,1.1,7.0,92.0,179.0,17.3,14.007,77.4,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2760459954653851,0.8061112449412189,0.43492637846889703,0.7768355071011578,0.36316754610927016,0.5346486416031506,-0.19131780088101533,2.1668686483352393
2094,0.6634095066880059,17.089999999999996,19.0,179.18510271269332,223.0,23.633333333333333,41.96117952,2644.1,7900.0,150956.80888888886,425041.99999999994,1037.8568,1075555.5555555555,9102222.22222222,2452.8008,119198.08123710686,4348.092088888889,0.7896848490975803,0.4133909331082224,0.751319051533165,0.724084942030357,0.5886760479715991,0.739425576110081,0.7372061295251733,0.5961695735569222
3419,0.39995991402055975,15.202333333333334,39.33333333333333,168.92106853939254,231.33333333333331,27.266666666666666,94.40995772,4905.02,17200.0,619899.2833555555,6361664.275555554,3290.364688888888,1935555.5555555555,1975555.5555555555,154354.63108888888,495182.76313210535,70.13540688666666,0.4960224282239163,0.5451352290783102,0.4993611817533491,0.6271489727716963,0.47688718610297737,0.5592298516062,0.5568129876552819,0.3915024145391595
900,0.3529198261920519,6.362499999999999,46.0,146.80469358729724,239.0,21.1225,108.9128635,21645.0,97200.0,592407.421875,11346.75,6011.04421875,2041875.0,1687500.0,239545.891875,649222.6973560259,10.131975187499998,0.3526397078468515,0.4407650424620351,0.3917156127518601,0.41249451791586367,0.4476284165882771,0.4426975999707713,0.44055464954531126,0.32370756000424195
5512,0.41549118927130707,5.65,21.0,126.5,220.0,11.3,43.9525,7481.648,4800.0,1328459.0977440001,41616.0,27142.5625,722500.0,40000.0,505521.0,293507.36601381033,1591.8105062500001,0.8372013188157124,0.8376175233853154,0.9826533825870667,0.8932067428349808,0.8682207505211846,0.7904258093137868,0.7905607477505507,0.9716027200578357
1868,1.1062790674744678,6.335,57.0,156.25,243.5,14.500000000000002,137.80349999999999,46916.0,55600.0,454546.6875,11254.6875,5676.75,1576875.0,10546875.0,444617.251875,6075.0,4.6875,0.7034282725383594,0.7557601873937565,0.7966186777382501,0.8514028893733385,0.6870716388619221,0.7261172238986797,0.724871310142476,0.847367404299769
932,0.5412040733463975,6.55,64.5,148.0,237.5,14.52,159.9085,11332.0,28000.0,2464900.0,650.25,76784.41,1690000.0,4410000.0,960694.0225,1226556.25,5402.25,0.7138003377566831,0.6524250027347147,0.5235081496967626,0.5388836906035066,0.6785605348740248,0.46551887050271346,0.46543362882489475,0.40642822711201165
4788,0.6677443194496933,3.586333333333333,13.999999999999998,138.40834482661876,192.0,12.829999999999998,29.978482386666663,4820.400000000001,7600.0,1024743.7520666666,85856.90888888888,9808.060727215823,246666.66666666663,308888.8888888888,475530.5437555555,3894104.9042920885,13.426078560088886,0.6460539083563166,0.7580227941001274,0.7466400257706834,0.7867428551540695,0.5919086741025322,0.6645028913712128,0.6626392798680505,0.7235367209534233
3717,0.26792553711061173,6.699999999999999,43.66666666666666,145.49306096648644,239.33333333333331,19.596666666666664,102.91566133333333,3150.0,11400.0,702112.5,13447.999999999998,7124.200555555554,2420000.0,2000000.0,283906.2422222222,769449.1227923268,12.008266888888887,0.45175055326638813,0.4159505383450779,0.465602002765436,0.44271677585286595,0.4799156110345689,0.46466692930437903,0.46272872150653066,0.3801070552691291
