,bandgap (eV),ave:Polarizability,ave:atomic_number,ave:atomic_radius,ave:atomic_radius_rahm,ave:atomic_volume,ave:atomic_weight,ave:boiling_point,ave:bulk_modulus,sum:hhi_p,var:boiling_point,var:c6_gb,var:hhi_p,var:hhi_r,var:melting_point,var:sound_velocity,var:thermal_conductivity,r1_1term,r1_2term,r1_3term,r1_4term,r2_1term,r2_2term,r2_3term,r2_4term
5548,0.0,3.401,31.0,141.60071015570415,196.25,11.325,73.12764225,1525.095,128.05302042526114,3700.0,2066152.359025,30348.485,211875.0,171875.0,417548.581075,1784589.0625,33195.2157766241,1.1079389089901834,1.0028416863797034,0.5073217631546871,0.4182752852851319,0.7672338602705093,-0.24070500846486897,0.5022756142916773,0.4619738651705354
5285,3.4236999999999997,2.6529999999999996,22.666666666666668,146.40834482661876,193.33333333333331,16.5,52.25246772,694.4,54.96832678259498,39600.0,736416.9520666666,53482.44222222222,10746666.666666664,1446666.6666666665,160455.72886666664,1808269.2327676238,127.71067056008887,2.2054570587800604,2.1292389043029782,2.3110027219164766,2.3364435209686465,2.282689234914248,2.4466095431694894,2.788318209631295,2.714294771321954
3230,0.0,7.1,81.33333333333333,159.66666666666666,243.33333333333331,17.233333333333334,204.34826666666666,2622.0,97.33333333333331,48300.0,1092242.0,410.88888888888886,8888.888888888889,2135555.555555555,500333.3888888889,176022.22222222222,910.2222222222223,0.1660756267062231,0.04360057122028049,0.12309437284032043,0.04773321446742074,0.46156725249005226,0.5090153591527397,0.6338521214621287,0.479542674159003
3651,2.0015,9.186250000000001,32.0,152.0,225.875,21.4875,73.78344525,907.825,7.9125000000000005,84800.0,17986.726875,2150162.484375,1607500.0,88593.75,5760.23109375,558247.3399335357,361.88853175,1.8634310266483531,1.6886639280779407,1.8501109565430802,2.1030146979477053,1.5338917270228194,1.6550096218698611,1.6256742074371306,2.0830664785752124
4769,1.2219,5.7333333333333325,25.0,130.0,223.0,13.166666666666664,54.00907,2195.216,73.26590130585654,29858.70237063408,4365374.2433279995,141866.8888888889,6395498.7143257875,2711681.10781065,942106.8888888889,546810.5341112299,573.362672222222,0.49379566266433095,0.3656481660229858,0.4636318778030635,0.5236892084720224,0.8319985758943178,0.9047584443236357,0.55431717158758,0.3782248585303869
5682,3.5682000000000005,1.4588781333333334,6.266666666666667,121.97409083275107,172.13333333333333,14.466666666666667,12.289533333333335,154.696,66.38511004429246,52084.49708962107,105167.11574400001,23487.87601955556,2550503.412743544,1680603.2623978842,48278.48714933334,1172240.0096000002,1591.4909814335335,3.6467806825100664,3.787931861772936,3.74148864824098,4.301207532258067,4.616940115882979,4.3160659162893475,4.643089187454715,4.587679015812826
4131,0.806,5.29,55.55555555555556,154.44444444444446,235.33333333333334,17.96666666666667,136.35731111111113,1398.0555555555557,21.72222222222222,27000.0,243828.89135802467,20886.0987654321,1551111.111111111,3048888.888888889,2033.92611111111,853587.6543209876,189.6815802469136,1.2438898388492445,1.099565011686538,1.237885795933284,1.2075431442615043,1.0504376976062464,1.1406858159578843,1.137343942015049,1.1349024383958326
3745,2.1011,6.984999999999999,41.5,153.0,235.0,16.1,96.8945,1655.55,43.7464644202679,11000.0,486436.50249999994,42025.0,302500.0,4000000.0,920.5156000000002,1139556.25,1659.7476,0.9759780853015956,0.8494430519442044,0.949256589582852,0.8873467901993788,0.7587957221806412,0.8230446026018663,0.8228211917057415,0.8389594587585262
3293,2.5044000000000004,11.339999999999998,10.4,126.20000000000002,206.40000000000003,14.880000000000003,22.9048,1098.8200000000002,46.653540891805164,54800.0,1220816.4806,403177.79760000005,2150400.0,2770400.0,178306.82433599996,7219566.9504,1493.049616125336,1.600425279024134,1.7844738681724301,1.8964639657587163,2.4036365273658697,0.4351315806828189,0.4798108860546604,0.48624675739887496,0.47888146247776486
5240,1.5689000000000002,3.486,22.8,112.6,199.60000000000002,12.100000000000001,51.152280000000005,2044.96,69.54595315108361,22000.0,3492624.9024,22818.2904,92000.0,194400.0,1883268.4309040005,46634104.550400004,37875.86736012534,0.6192645304731093,1.7945237078032568,1.3374332021951894,1.3715159542105169,1.1557873090265647,0.7660333111795061,0.06266311693889537,0.1966182486939776
