ID,exfoliation_energy (J/m^2),min:bulk_modulus (GPa),min:thermal_conductivity (W / m / K),min:evaporation_heat (KJ / mol),max:num_p_valence,ave:num_p_valence,min:boiling_point (K),ave:thermal_conductivity (W / m / K),var:heat_capacity_molar (J / mol / K),ave:hhi_r,var:num_p_valence,ave:electron_affinity (eV),max:electron_affinity (eV),min:melting_point (K),min:heat_of_formation (KJ / mol),max:heat_capacity_molar (J / mol / K),ave:icsd_volume (cm^3 / mol),ave:mendeleev_number,min:vdw_radius_uff (pm),max:thermal_conductivity (W / m / K),var:electron_affinity (eV),max:mendeleev_number,ave:vdw_radius_uff (pm),sum:thermal_conductivity (W / m / K),ave:heat_capacity_molar (J / mol / K),ave:bulk_modulus (GPa),min:num_valance,perimeter_area_ratio (AA^-1),max:icsd_volume (cm^3 / mol),ave:atomic_volume (cm^3 / mol),ave:evaporation_heat (KJ / mol)
4354,0.5132941629841101,8.3,0.02658,15.579091192355275,4.0,4.0,90.19,0.8110533333333333,3.1163580763888867,2058.3333333333335,0.0,1.6351838333333333,2.02067,54.8,196.6,29.378,22.542499999999997,98.08333333333333,350.0,3.0,0.06075592704580557,101.0,380.125,19.46528,28.131416666666667,67.67902723368151,6.0,0.7423531425141479,33.94,15.833333333333332,27.81106079490351
5896,0.52873331687448,8.3,0.02658,15.579091192355275,4.0,3.2,90.19,80.119948,4.894565439999996,1800.0,2.5600000000000005,1.5278021,2.02067,54.8,227.2,29.378,18.74,93.6,349.5,400.0,0.06839878894493999,101.0,364.0,2403.5984399999998,27.587400000000002,75.32362451031337,6.0,0.6145473878921103,29.81,13.120000000000001,82.20745471541318
3283,0.41526718463053985,7.7,0.205,10.5,4.0,2.6666666666666665,717.824,20.136666666666667,1.3787555555555573,3511.111111111111,3.5555555555555554,1.6510484644444445,2.07710403,386.0,277.17,25.98,22.84222222222222,82.11111111111111,289.9,72.0,0.37240323986958046,94.0,371.5444444444444,181.23,23.486666666666665,62.91111111111111,5.0,0.8354325545348524,25.76,13.722222222222221,199.48888888888888
5091,0.6249441721981974,7.7,0.02658,0.904,5.0,1.8,20.28,17.167316,114.58841120000001,3272.6205835098563,4.960000000000001,1.3293178600000002,3.0590368,14.01,106.757,54.43,29.108,83.20000000000002,245.1,85.0,0.8353467403025183,103.0,324.46000000000004,171.67316,33.268,41.68106398058353,1.0,0.8011848730129186,42.51,16.200000000000003,41.467418238471055
4177,0.662386155191002,17.0,0.02658,15.579091192355275,4.0,2.6666666666666665,90.19,66.68438666666665,2.6434668888888915,833.3333333333333,3.5555555555555554,0.9822589999999999,1.4611135,54.8,177.8,29.378,26.30333333333333,72.66666666666666,339.9,200.0,0.4586032643404999,101.0,346.6333333333333,200.05316,28.22833333333333,56.40402723368151,2.0,1.240113501264192,44.19,19.299999999999997,61.58606079490351
1106,1.4185107719521843,58.0,67.0,296.0,2.0,1.3333333333333333,2543.0,84.66666666666666,1.907755555555555,3733.333333333333,0.8888888888888888,1.0913779999999997,1.112067,505.1,301.2,26.99,22.709999999999997,76.0,296.3,120.0,0.0008560694419999964,83.0,391.5666666666666,254.0,26.013333333333332,112.0,8.0,1.2712105451999567,27.05,13.633333333333333,371.09249442797125
3995,0.3752676656705072,7.7,0.205,10.5,4.0,2.6666666666666665,717.824,16.136666666666667,1.7174222222222235,1766.6666666666665,3.5555555555555554,1.4347360200000001,2.07710403,386.0,277.17,25.48,22.076666666666664,82.0,295.4,48.0,0.8252733205427203,94.0,367.46666666666664,193.64,23.626666666666665,128.46666666666667,6.0,0.7061017700154288,25.76,13.283333333333331,241.66666666666666
1789,0.3907587298445301,45.0,0.0277,6.54,5.0,3.333333333333333,85.01,53.3518,9.202049999999995,1166.6666666666667,5.555555555555555,2.9718689846603823,3.4011897000000006,53.53,79.335,31.304,18.773333333333333,92.33333333333333,302.1,160.0,0.36863255323944244,102.0,324.96666666666664,160.0554,29.158999999999995,46.19929299817511,2.0,1.1834292997372922,23.48,16.066666666666666,48.29333333333334
5358,0.20148074247522677,31.0,0.0277,6.54,5.0,4.666666666666667,85.01,1.3564166666666666,4.646479999999999,2250.0,0.5555555555555555,2.991385083333334,3.4011897000000006,53.53,79.335,31.304,19.580000000000002,99.5,336.4,8.0,0.8396991192065684,102.0,353.16666666666663,16.277,30.34,44.16578291438555,7.0,0.7501015190034369,35.38,17.8,34.11666666666667
3028,0.5700289817321639,7.7,0.205,10.5,4.0,2.571428571428571,717.824,25.545714285714283,2.417853061224492,1385.7142857142858,2.816326530612245,1.6411992453314617,2.319978597320232,302.93,130.4,26.03,22.490000000000002,87.71428571428571,276.3,120.0,0.5935429368081426,94.0,395.27142857142854,178.82,24.035714285714285,37.94775935330117,6.0,1.2404717142185742,25.76,13.542857142857141,99.62857142857143
4521,2.923015523097257,31.0,0.02658,15.579091192355275,4.0,3.0,90.19,21.615948000000003,4.310258560000002,2040.0,2.4,1.1975917919999999,1.4611135,54.8,209.6,29.378,19.716,90.8,287.2,100.0,0.11201144723472503,101.0,354.84000000000003,108.07974,27.6928,87.86362451031337,6.0,1.0279932270255039,35.38,14.0,121.56745471541316
5739,0.37966956707213706,65.0,0.02658,15.579091192355275,4.0,2.666666666666667,90.19,72.76550499999999,3.8608538888888875,1450.0,3.555555555555556,1.2303892083333334,1.970876,54.8,164.0,29.378,24.27,81.08333333333334,349.5,400.0,0.30975729822951903,101.0,360.35,1746.37212,27.81966666666667,85.2252695238688,2.0,0.7757484677984174,56.08,16.675,88.00446986220723
2738,0.2126108983074911,7.7,0.449,41.95,5.0,3.333333333333333,457.5,6.299333333333333,154.41102222222221,3966.6666666666665,5.555555555555555,2.087564533333333,3.0590368,386.7,106.757,54.43,49.3,69.33333333333333,370.3,18.0,1.887516729804942,97.0,423.43333333333334,37.796,45.64333333333333,8.333333333333332,2.0,0.6399632024624358,62.88,30.133333333333333,75.3
3418,0.5365404836225047,1.1,0.0089,15.579091192355275,5.0,2.571428571428571,90.19,67.15299428571427,11.347492122448974,1500.0,5.1020408163265305,1.6398110000000001,3.612725,54.8,121.302,33.949,30.969999999999995,71.71428571428571,349.5,400.0,1.868605908709643,101.0,366.7285714285714,470.07096,29.239142857142856,62.76757571911634,2.0,1.0163239488071834,56.08,19.985714285714288,94.93974034067293
3492,0.6256454902814167,6.3,7.8,32.4,3.0,1.0,876.0,65.93333333333334,2.150955555555555,2100.0,2.0,1.3073189399188871,2.5700308197566617,370.96,107.5,28.23,24.493333333333332,53.33333333333333,296.1,140.0,0.808149627987723,89.0,339.1333333333333,395.6,26.39666666666667,49.43333333333334,1.0,1.0571650560232861,39.76,14.73,117.09999999999998
366,0.17529467079845812,1.1,0.0089,20.41,5.0,4.181818181818182,238.6,40.915563636363636,38.648664,1000.0,1.7851239669421486,3.006396663636364,3.612725,172.2,121.302,33.949,26.587272727272726,95.18181818181819,394.7,150.0,0.9803574706066533,99.0,404.1909090909091,900.1424,30.141999999999996,28.07272727272727,4.0,0.4813340026073132,29.05,16.9,119.29818181818182
