ID,max:mendeleev_number,ave:melting_point,var:covalent_radius_pyykko_double,ave:evaporation_heat,var:num_d_unfilled,ave:num_s_unfilled,ave:c6_gb,ave:heat_capacity_molar,ave:atomic_radius,min:boiling_point,sum:electron_affinity,ave:Polarizability,ave:molar_volume,var:c6_gb,sum:melting_point,min:vdw_radius_uff,sum:gs_mag_moment,ave:gs_est_bcc_latcnt,ave:icsd_volume,var:covalent_radius_cordero,aflow_proto
3785,94.0,1260.8,61.440000000000005,208.10000000000002,0.0,0.0,123.68,18.0548,115.4,717.824,6.790758090000001,2.952,11.074,399.5136,6304.0,403.5,0.0,3.2052825045999995,18.556,105.84,hP5_189_d_g
3787,101.0,630.5285714285715,1187.2653061224491,139.87376639563158,0.0,0.0,262.2571428571428,27.855999999999998,146.97224017794758,90.19,15.821632000000001,2.8868571428571426,15.41,81657.27102040817,8827.4,289.9,0.0,2.956381047,19.18,1422.2448979591836,tP14_129_c_e_i
3788,94.0,680.2933333333333,128.22222222222223,133.43333333333334,0.0,0.3333333333333333,251.3333333333333,23.980666666666668,133.66666666666666,553.0,20.52936412,4.109999999999999,14.253333333333332,15797.555555555555,8163.5199999999995,329.3,0.0,3.5011057476666667,20.57,200.66666666666663,oP12_29_a_a_a
3789,103.0,136.7218181818182,845.8197459114933,20.421124069947375,0.0,0.36363636363636365,79.25818181818181,27.865818181818184,119.16415284051212,20.28,25.8097611106398,1.8631974545454546,14.74181818181818,15104.32974214876,3007.88,284.8,0.0,2.772378198818182,23.371818181818185,1300.8760330578511,mP22_13_2g_2g_e_g
3790,93.0,2342.6666666666665,80.22222222222221,525.2333333333333,10.88888888888889,0.0,668.9999999999999,25.361,146.0,958.1,5.32934,9.989999999999998,12.706666666666667,95048.0,14056.0,317.0,0.0,3.449058748333333,21.703333333333333,555.5555555555555,tP6_129_2c_c
3791,102.0,259.58166666666665,1248.5555555555557,108.92833333333333,0.0,0.0,308.26666666666665,33.72033333333333,146.1350723258456,85.01,30.973479800000007,3.2635,15.316666666666665,100652.18222222223,3114.98,336.4,0.0,3.4305447449999997,24.311666666666667,1681.0,oP12_18_a_bc_c
3793,99.0,304.70666666666665,938.8888888888889,72.07,0.0,0.6666666666666666,1079.033333333333,30.136333333333333,175.78460579772081,238.6,4.708577,16.799999999999997,21.65,482096.5355555555,914.1199999999999,298.3,0.0,3.8075091399999996,36.19,910.2222222222222,hP3_164_a_d
3794,98.0,682.675,12.0,127.82000000000001,12.0,0.0,440.25,63.0325,154.91648110356,331.9,20.339529200000005,5.9375,17.495,192406.6875,5461.4,317.5,4.5e-05,3.7240371132500005,53.27250000000001,300.0,mC16_12_g_ij
3795,101.0,727.0571428571428,693.7142857142857,144.67519496706015,4.204081632653061,0.14285714285714285,248.84285714285713,28.660142857142855,142.4513569483994,90.19,20.712358000000002,3.798285714285714,14.757142857142856,134041.2281632653,10178.8,291.2,4.2213256,2.8736920107142856,17.979999999999997,1300.2448979591836,tP14_129_b_c_c_i
3796,103.0,216.0027777777778,758.1676064529007,14.306161773530707,0.0,0.2777777777777778,54.41944444444444,28.43777777777778,126.33412239522684,20.28,20.79411,1.3491091666666666,14.975,8471.901871913582,3888.05,288.6,0.0,2.7085329890555556,22.125555555555557,807.6543209876543,aP18_2_5i_a2i_ei
3797,103.0,183.80363636363637,874.447197294233,29.01203316085646,0.0,0.36363636363636365,245.16727272727272,27.857545454545455,123.07324374960302,20.28,20.757996,3.4668338181818186,15.941818181818181,398449.65205619833,4043.68,288.6,0.0,2.848408994545455,25.42636363636364,1828.7438016528927,mP22_13_2g_2g_e_g
3798,94.0,915.25,216.75,151.625,12.0,0.0,365.0,23.4575,137.0,717.824,12.490624180000001,6.225,15.007499999999999,151875.0,7322.0,314.1,0.0,3.6769669425,24.925,918.75,oP8_59_a_be
3799,102.0,217.60999999999999,1531.5555555555557,64.70636373078509,0.0,0.0,179.96666666666667,28.733999999999995,150.07501149328544,85.01,11.609330400000001,2.9196666666666666,16.62333333333333,55462.64222222222,1305.6599999999999,336.4,0.0,3.119260491666667,23.05333333333333,1676.222222222222,hP6_164_c_d_d
3800,94.0,341.916,348.15999999999997,27.960000000000004,0.0,0.0,175.0,23.9814,133.2,553.0,18.40719166586261,3.4699999999999998,15.54,2493.6000000000004,3419.16,270.5,0.0,3.6846218715999997,24.018,112.96000000000001,aP10_2_3i_i_i
3801,84.0,1492.7142857142856,48.97959183673469,392.9428571428571,13.061224489795919,0.14285714285714285,634.8571428571429,24.006857142857143,142.28571428571428,2840.0,14.035696000000002,9.337142857142856,12.809999999999999,211498.693877551,20898.0,312.4,0.0,3.475355892142857,21.044285714285714,581.1020408163265,tP14_129_2c_2cf_b
3802,100.0,1741.196,595.84,333.868505627048,0.9955555555555556,0.0,161.30666666666667,20.328400000000002,103.2,77.4,1.5478480000000001,2.5053333333333336,10.176666666666666,63345.7192888889,26117.94,291.2,2.1106628,2.8591900434000004,15.732000000000003,741.04,hP15_147_a_d_g_g
3803,102.0,488.3916666666667,812.6666666666666,108.70636373078509,6.805555555555556,0.16666666666666666,403.1333333333333,28.519,141.57501149328542,85.01,10.867655400000002,6.5746666666666655,13.076666666666664,320965.3255555555,2930.35,245.1,0.0,2.8023322263333332,17.178333333333335,1452.4722222222222,aP6_1_2a_2a_a_a
3805,101.0,680.8666666666666,799.9999999999999,151.2527274615702,14.222222222222223,0.0,411.1333333333333,27.938666666666663,146.46761354093886,90.19,3.001227,5.401333333333333,15.12,311155.3088888889,2042.6,317.5,2.25e-05,2.8271955650000002,17.46333333333333,1963.5555555555554,hP3_164_a_d
