ID,max:mendeleev_number,ave:melting_point,var:covalent_radius_pyykko_double,ave:evaporation_heat,var:num_d_unfilled,ave:num_s_unfilled,ave:c6_gb,ave:heat_capacity_molar,ave:atomic_radius,min:boiling_point,sum:electron_affinity,ave:Polarizability,ave:molar_volume,var:c6_gb,sum:melting_point,min:vdw_radius_uff,sum:gs_mag_moment,ave:gs_est_bcc_latcnt,ave:icsd_volume,var:covalent_radius_cordero,aflow_proto,exfoliation_energy_per_atom (eV/atom)
4498,101.0,630.311111111111,514.6666666666666,134.63050523934797,2.5432098765432096,0.0,174.46666666666664,27.88755555555555,139.24539131871663,90.19,10.24219392,3.134666666666666,13.843333333333332,50341.30888888889,5672.8,287.2,5.2076052,2.6707888441111116,15.353333333333332,1196.2469135802469,mC18_12_3i_a_i,0.06187510111111205
4499,94.0,860.0,49.99999999999999,120.33333333333333,3.555555555555556,0.0,276.0,23.5,126.66666666666666,717.824,4.30520806,4.7333333333333325,12.716666666666665,36992.0,2580.0,291.2,2.1106628,3.407830829666666,21.099999999999998,304.22222222222223,hP3_164_a_d,0.058567436666667305
4508,98.0,887.2666666666667,0.8888888888888888,133.70666666666665,5.555555555555555,0.3333333333333333,361.0,58.243333333333325,148.37020542538664,331.9,7.3931764000000015,5.8999999999999995,15.596666666666668,60552.0,2661.8,302.3,0.0,3.534104389,47.42999999999999,80.22222222222223,mC6_12_a_i,0.0741022466666661
4545,103.0,372.72400000000005,637.4106501306185,82.31323647694212,0.6400000000000002,0.4,87.88400000000001,28.4996,114.88056812456333,20.28,5.586617,1.9475172,12.830000000000002,23294.710584000004,1863.62,283.4,0.5953946999999999,2.5470193224,21.924000000000003,1157.0400000000002,hP5_164_a_d_d,0.06355548800000044
4547,100.0,912.8299999999999,770.8888888888888,205.15528519091347,14.222222222222223,0.0,387.59999999999997,29.601,135.4512724643875,77.4,4.45345,6.493333333333332,14.79,213662.54,5476.98,314.1,0.0,3.430459120666667,24.71666666666667,1900.6666666666665,hP6_164_c_d_d,0.03443452999999952
4553,101.0,711.5666666666666,692.6666666666666,125.9463637307851,18.0,0.0,591.2333333333333,43.52933333333333,155.25224281649608,90.19,10.025403400000002,7.217333333333333,17.38,483825.7755555555,4269.400000000001,329.5,1.27e-05,3.355294750666667,35.82,1803.5555555555557,oP6_59_a_a_b,0.038866086666666355
4563,92.0,966.65,72.25,188.9,0.0,0.0,418.0,24.476,148.5,1263.0,12.814352,5.67,17.045,2809.0,7733.2,428.0,0.0,3.847641265,28.085,81.0,oP8_57_d_d,0.07053940749999965
4577,89.0,1150.3,2.25,180.2,0.0,0.0,312.5,23.931,138.0,876.0,12.220272,5.074999999999999,13.29,2756.25,13803.599999999999,423.0,0.0,3.5614959445,21.875,0.25,mC24_12_3i_3i,0.08544268999999982
4579,101.0,383.08333333333326,938.5833333333333,69.45272746157018,0.0,0.16666666666666666,133.63333333333333,27.946999999999996,145.46761354093886,90.19,9.050329999999999,2.4846666666666666,16.168333333333333,30917.55888888889,2298.5,349.5,0.0,2.9072534453333336,19.19833333333333,1061.0,mP6_10_b_c_mn,0.12582598499999964
4582,97.0,669.4999999999999,22.22222222222222,112.66666666666666,0.0,0.3333333333333333,373.0,44.736666666666665,148.49306096648644,457.5,7.420073599999999,5.826666666666666,20.569999999999997,512.0,2008.5,314.8,0.0,4.008505608,34.023333333333326,8.0,tP3_115_a_g,0.09431122999999997
4584,94.0,648.6600000000001,17.439999999999998,94.08,1.44,0.0,213.6,23.3468,126.80000000000001,553.0,15.2803511,3.966,14.056,15633.04,6486.6,287.2,3.0969424,3.4927702097999997,21.478,169.60000000000002,hP10_162_d_e_k,0.06747870500000008
4590,75.0,1263.55,182.25,240.85000000000002,16.0,0.0,802.5,25.54,150.5,1038.0,5.258865110639802,10.98,11.82,158006.25,5054.2,284.8,4.5e-05,3.305360346,19.630000000000003,64.0,tP4_129_c_c,0.25503243750000015
4595,101.0,603.9181818181819,944.8760330578514,139.4938845035311,5.355371900826446,0.18181818181818182,262.23636363636365,28.177636363636363,147.4192147719333,90.19,30.989192,3.937818181818182,16.454545454545453,187893.19140495866,13286.199999999999,316.5,0.0,2.8895381551818184,19.010909090909088,1623.8677685950413,mP22_13_4g_e_g,0.03280087863636272
4597,100.0,786.8299999999999,748.6666666666666,202.48861852424682,14.222222222222223,0.0,494.26666666666665,29.477666666666664,133.11793913105416,77.4,5.27745,7.059999999999999,14.983333333333333,375596.7622222222,4720.98,312.4,0.0,3.4478362166666665,25.006666666666668,1900.6666666666665,hP6_164_c_d_d,0.03405965500000008
4598,100.0,944.0633333333333,820.6666666666666,208.20528519091346,14.222222222222223,0.0,417.5666666666666,43.51466666666666,138.85176937935998,77.4,3.955176400000001,6.783333333333333,15.586666666666666,198047.90888888887,5664.38,314.1,0.0,3.5081041886666666,36.74666666666666,1804.6666666666665,oP6_59_a_a_b,0.041207333333333374
4616,102.0,315.065,1722.25,84.47,0.0,0.0,259.6,28.811999999999998,152.51180708422402,85.01,15.112758800000002,4.0785,14.209999999999999,62200.36,2520.52,336.4,0.0,3.2316242335,22.475,1936.0,oP8_57_d_d,0.066272895
4617,101.0,618.9777777777778,874.6913580246912,127.25272746157017,8.469135802469134,0.0,293.2444444444444,27.879666666666665,145.02316909649443,90.19,11.929908553981146,4.468,14.977777777777776,160825.95580246914,5570.8,302.1,0.0,2.8099111481111114,17.266666666666666,1541.5555555555554,mC18_12_3i_a_i,0.4478807022222231
4641,97.0,966.1333333333332,0.8888888888888888,216.96666666666667,14.222222222222223,0.0,712.6666666666666,44.739999999999995,153.82639429981975,457.5,13.0881472,9.533333333333331,21.819999999999997,209520.2222222222,5796.8,312.4,0.0,4.140727237,36.10333333333333,288.0,mP6_11_2e_e,0.07794358999999984
